WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
15.7,Sign Order (actual order),T+134d ,T+135d ,16,2d,16,2d,0%,,,,,,,,,"5.11, 15.6",,0,,
16,Sundries:,T+18d ,T+109d ,736,4mo 2w 2d,56,1w 2d,0%,,,,,,,,,3,,,,
16.1,add parts to shopping lists,T+18d ,T+21d ,32,4d,32,4d,0%,,,,,,,,,,,0,,
16.2,update budget,T+18d ,T+18d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
16.3,order parts.,T+108d ,T+109d ,16,2d,16,2d,0%,,,,,,,,,5.11,,0,,
17,LOCAL RIR (eg: ARIN),T+18d ,T+54d ,296,1mo 3w 2d,296,1mo 3w 2d,0%,,,,,,,,,3,,,,
17.1,Create POC Record,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
17.2,Create ORGid,T+20d ,T+24d ,40,1w,40,1w,0%,,,,,,,,,17.1,,0,,
17.3,ASN Request,T+25d ,T+29d ,40,1w,40,1w,0%,,,,,,,,,17.2,,0,,
17.4,IPv6 request,T+30d ,T+34d ,40,1w,40,1w,0%,,,,,,,,,17.3,,0,,
17.5,IPv4 transfer pre-approval,T+35d ,T+39d ,40,1w,40,1w,0%,,,,,,,,,17.4,,0,,
17.6,IPv4 waiting list,T+40d ,T+44d ,40,1w,40,1w,0%,,,,,,,,,17.5,,0,,
17.7,procure IPv4 space from broker market,T+45d ,T+49d ,40,1w,40,1w,0%,,,,,,,,,17.6,,0,,
17.8,Update Budget,T+50d ,T+50d ,8,1d,8,1d,0%,,,,,,,,,17.7,,0,,
17.9,Create Routing Objects.,T+51d ,T+52d ,16,2d,16,2d,0%,,,,,,,,,17.8,,0,,
17.10,Update network providers on IP/ASN info,T+53d ,T+54d ,16,2d,16,2d,0%,,,,,,,,,17.9,,0,,
18,IMPLEMENTATION PHASE,T+109d ,T+109d ,,,,,0%,,,,,,,,,"5, 10, 11",,,,
19,Increase meeting cadence,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
