WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
12.7,procure IPv4 space from broker market,T+36d ,T+40d ,40,1w,40,1w,0%,,,,,,,,,12.6,,0,,
12.8,Update Budget,T+41d ,T+41d ,8,1d,8,1d,0%,,,,,,,,,12.7,,0,,
12.9,Create Routing Objects.,T+42d ,T+43d ,16,2d,16,2d,0%,,,,,,,,,12.8,,0,,
12.10,Update network providers on IP/ASN info,T+44d ,T+45d ,16,2d,16,2d,0%,,,,,,,,,12.9,,0,,
13,IMPLEMENTATION PHASE,T+80d ,T+80d ,,,,,0%,,,,,,,,,"5, 6",,,,
14,Increase meeting cadence,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
15,Integrator,T+53d ,T+90d ,304,1mo 3w 3d,304,1mo 3w 3d,0%,,,,,,,,,10,,,,
15.1,Rack build time (parts arrival),T+53d ,T+77d ,200,1mo 1w,200,1mo 1w,0%,,,,,,,,,,,0,,
15.2,Confirm rack assembly.,T+78d ,T+79d ,16,2d,16,2d,0%,,,,,,,,,15.1,,0,,
15.3,provide pre-configuration (if needed),T+80d ,T+83d ,32,4d,32,4d,0%,,,,,,,,,15.2,,0,,
15.4,verify appropriate code revs.,T+84d ,T+84d ,8,1d,8,1d,0%,,,,,,,,,15.3,,0,,
15.5,verify appropriate cabling,T+85d ,T+85d ,8,1d,8,1d,0%,,,,,,,,,15.4,,0,,
15.6,Rack shipped to datacenter,T+86d ,T+90d ,40,1w,40,1w,0%,,,,,,,,,"5, 15.5",,0,,
16,Location,T+64d ,T+79d ,128,3w 1d,528,3mo 1w 1d,0%,,,,,,,,,5,,,,
16.1,Power circuits delivered,T+64d ,T+78d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
16.2,low voltage cabling work,T+64d ,T+78d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
16.3,misc (eg: bolt down system) work,T+64d ,T+78d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
16.4,keycard/palm/fingerprint reader installed,T+64d ,T+78d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
16.5,Cage ready,T+78d ,T+78d ,,,,,0%,,,,,,,,,"16.1, 16.2, 16.3, 16.4",,,,
16.6,Confirm ability to open tickets,T+79d ,T+79d ,8,1d,8,1d,0%,,,,,,,,,16.5,,0,,
16.7,confirm ability to visit,T+79d ,T+79d ,8,1d,8,1d,0%,,,,,,,,,16.5,,0,,
16.8,Open tickets for all incoming shipments,T+79d ,T+79d ,8,1d,8,1d,0%,,,,,,,,,16.5,,0,,
16.9,Open tickets for all needed crossconnects,T+79d ,T+79d ,8,1d,8,1d,0%,,,,,,,,,16.5,,0,,
16.10,Open tickets for boltdown,T+79d ,T+79d ,8,1d,8,1d,0%,,,,,,,,,16.5,,0,,
16.11,Open tickets to energize power,T+79d ,T+79d ,8,1d,8,1d,0%,,,,,,,,,16.5,,0,,
17,Racks-Ready,T+80d ,T+88d ,72,1w 4d,128,3w 1d,0%,,,,,,,,,,,,,
17.1,Racks received at datacenter,T+80d ,T+80d ,8,1d,8,1d,0%,,,,,,,,,16,,0,,
17.2,Racks placed in datacenter,T+81d ,T+81d ,8,1d,8,1d,0%,,,,,,,,,17.1,,0,,
17.3,racks bolted down,T+82d ,T+82d ,8,1d,8,1d,0%,,,,,,,,,17.2,,0,,
