WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
20.4,verify appropriate code revs.,T+69d ,T+69d ,8,1d,8,1d,0%,,,,,,,,,20.3,,0,,
20.5,verify appropriate cabling,T+70d ,T+70d ,8,1d,8,1d,0%,,,,,,,,,20.4,,0,,
20.6,Rack shipped to datacenter,T+79d ,T+80d ,16,2d,16,2d,0%,,,,,,,,,"5, 15.1, 20.5",,0,,
21,Location,T+77d ,T+87d ,88,2w 1d,328,2mo 1d,0%,,,,,,,,,5,,,,
21.1,Power circuits delivered,T+77d ,T+86d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
21.2,low voltage cabling work,T+77d ,T+86d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
21.3,misc (eg: bolt down system) work,T+77d ,T+81d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
21.4,keycard/palm/fingerprint reader installed,T+77d ,T+86d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
21.5,Cage ready,T+86d ,T+86d ,,,,,0%,,,,,,,,,"21.1, 21.2, 21.3, 21.4",,,,
21.6,Confirm ability to open tickets,T+87d ,T+87d ,8,1d,8,1d,0%,,,,,,,,,21.5,,0,,
21.7,confirm ability to visit,T+87d ,T+87d ,8,1d,8,1d,0%,,,,,,,,,21.5,,0,,
21.8,Open tickets for all incoming shipments,T+87d ,T+87d ,8,1d,8,1d,0%,,,,,,,,,21.5,,0,,
21.9,Open tickets for all needed crossconnects,T+87d ,T+87d ,8,1d,8,1d,0%,,,,,,,,,21.5,,0,,
21.10,Open tickets for boltdown,T+87d ,T+87d ,8,1d,8,1d,0%,,,,,,,,,21.5,,0,,
21.11,Open tickets to energize power,T+87d ,T+87d ,8,1d,8,1d,0%,,,,,,,,,21.5,,0,,
22,Racks-Ready,T+88d ,T+93d ,48,1w 1d,72,1w 4d,0%,,,,,,,,,,,,,
22.1,Racks received at datacenter,T+88d ,T+88d ,8,1d,8,1d,0%,,,,,,,,,21,,0,,
22.2,Racks placed in datacenter,T+89d ,T+89d ,8,1d,8,1d,0%,,,,,,,,,22.1,,0,,
22.3,racks bolted down,T+90d ,T+90d ,8,1d,8,1d,0%,,,,,,,,,22.2,,0,,
22.4,racks powered on.,T+91d ,T+91d ,8,1d,8,1d,0%,,,,,,,,,22.3,,0,,
22.5,Panels are set up to receive xconnects.,T+92d ,T+92d ,8,1d,8,1d,0%,,,,,,,,,22.4,,0,,
22.6,routers / switches BASE Config.,T+92d ,T+93d ,16,2d,16,2d,0%,,,,,,,,,22.4,,0,,
22.7,rack to spine interconnect cabling,T+92d ,T+93d ,16,2d,16,2d,0%,,,,,,,,,22.4,,0,,
23,Sundries work,T+88d ,T+93d ,48,1w 1d,48,1w 1d,0%,,,,,,,,,,,,,
23.1,Sundries arrive,T+88d ,T+92d ,40,1w,40,1w,0%,,,,,,,,,21,,0,,
23.2,Sundries unpacked/assembled,T+93d ,T+93d ,8,1d,8,1d,0%,,,,,,,,,23.1,,0,,
24,Network Provider bringup,T+94d ,T+96d ,24,3d,24,3d,0%,,,,,,,,,,,,,
24.1,Network provider xconnect finished,T+94d ,T+95d ,16,2d,16,2d,0%,,,,,,,,,22.6,,0,,
24.2,Network provider link working,T+96d ,T+96d ,8,1d,8,1d,0%,,,,,,,,,24.1,,0,,
25,Peering Fabric,T+94d ,T+96d ,24,3d,24,3d,0%,,,,,,,,,,,,,
25.1,Peering fabric xconnect finished,T+94d ,T+95d ,16,2d,16,2d,0%,,,,,,,,,22.6,,0,,
25.2,Peering Fabric link brought up,T+96d ,T+96d ,8,1d,8,1d,0%,,,,,,,,,25.1,,0,,
26,Networking,T+97d ,T+103d ,56,1w 2d,56,1w 2d,0%,,,,,,,,,,,,,
26.1,Routing ROAs created,T+97d ,T+97d ,8,1d,8,1d,0%,,,,,,,,,24,,0,,
26.2,Test all route objects.,T+98d ,T+98d ,8,1d,8,1d,0%,,,,,,,,,26.1,,0,,
26.3,Network Configuration Final,T+99d ,T+103d ,40,1w,40,1w,0%,,,,,,,,,26.2,,0,,
27,OOB verification,T+104d ,T+104d ,8,1d,8,1d,0%,,,,,,,,,26,,0,,
28,Documentation final updates,T+105d ,T+109d ,40,1w,40,1w,0%,,,,,,,,,"26, 27",,0,,
29,Server Imaging,T+104d ,T+117d ,112,2w 4d,112,2w 4d,0%,,,,,,,,,26,,,,
29.1,"Server services created (eg: Dns, dhcp)",T+104d ,T+104d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
29.2,Web/app/db configuration,T+105d ,T+114d ,80,2w,80,2w,0%,,,,,,,,,29.1,,0,,
29.3,Server end to end tests,T+115d ,T+116d ,16,2d,16,2d,0%,,,,,,,,,29.2,,0,,
29.4,Stress test,T+117d ,T+117d ,8,1d,8,1d,0%,,,,,,,,,29.3,,0,,
30,Monitoring:,T+115d ,T+119d ,40,1w,48,1w 1d,0%,,,,,,,,,29.2,,,,
30.1,"Syslog, snmp Sflow monitoring",T+115d ,T+115d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
30.2,System Monitoring,T+115d ,T+116d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
30.3,Grafana dashboards.,T+117d ,T+118d ,16,2d,16,2d,0%,,,,,,,,,30.2,,0,,
30.4,Alerting/escalation,T+119d ,T+119d ,8,1d,8,1d,0%,,,,,,,,,30.3,,0,,
31,Failure Testing,T+120d ,T+129d ,80,2w,80,2w,0%,,,,,,,,,30,,,,
31.1,"Fail a server (remove a drive, remove the network) - confirm alerts come in, confirm tickets are filed, and impact",T+120d ,T+120d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
31.2,"Fail a network device. Confirm alerts come in, tickets filed, etc.",T+121d ,T+121d ,8,1d,8,1d,0%,,,,,,,,,31.1,,0,,
31.3,"Fail a rack of equipment. Confirm alerts, tickets etc.",T+122d ,T+122d ,8,1d,8,1d,0%,,,,,,,,,31.2,,0,,
31.4,"Fail and restore the DC,  confirm things come back up as expected.  Document, and resolve issues.",T+123d ,T+123d ,8,1d,8,1d,0%,,,,,,,,,31.3,,0,,
31.5,Test rolling back a deployment,T+124d ,T+124d ,8,1d,8,1d,0%,,,,,,,,,31.4,,0,,
31.6,"Benchmark the site, and see what your limitations are.",T+125d ,T+129d ,40,1w,40,1w,0%,,,,,,,,,31.5,,0,,
32,Cutover,T+130d ,T+130d ,8,1d,8,1d,0%,,,,,,,,,31,,,,
32.1,Data migration to site,T+130d ,T+130d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
32.2,GO LIVE,T+130d ,T+130d ,,,,,0%,,,,,,,,,32.1,,,,
33,POST INSTALL,T+131d ,T+150d ,160,1mo,320,2mo,0%,,,,,,,,,,,,,
33.1,Archive of old site,T+131d ,T+150d ,160,1mo,160,1mo,0%,,,,,,,,,32.2,,0,,
33.2,Removal of old site,T+131d ,T+150d ,160,1mo,160,1mo,0%,,,,,,,,,32.2,,0,,
34,Every quarter moving forward:,T+130d ,T+130d ,0,0s,0,0s,0%,,,,,,,,,32,,,,
34.1,Review ongoing capacity plan.,T+130d ,T+130d ,,,,,0%,,,,,,,,,,,,,
34.2,Send forecast to integrator / vendors,T+130d ,T+130d ,,,,,0%,,,,,,,,,,,,,
34.3,Order additional power as needed,T+130d ,T+130d ,,,,,0%,,,,,,,,,,,,,
34.4,Order additional space as needed etc.,T+130d ,T+130d ,,,,,0%,,,,,,,,,,,,,
34.5,Review a DR Plan.,T+130d ,T+130d ,,,,,0%,,,,,,,,,,,,,
